MatrixSize,TimeSeconds
586,0.20123005600000002
588,0.203297472
590,0.205379
592,0.20747468800000002
594,0.20958458400000002
596,0.211708736
598,0.21384719200000002
600,0.21600000000000003
602,0.218167208
604,0.220348864
606,0.222545016
608,0.22475571200000002
610,0.22698100000000002
612,0.22922092800000002
614,0.231475544
616,0.233744896
618,0.23602903200000003
620,0.238328
622,0.24064184800000002
624,0.24297062400000002
626,0.24531437600000003
628,0.247673152
630,0.250047
632,0.252435968
634,0.254840104
636,0.257259456
638,0.259694072
640,0.26214400000000004
642,0.264609288
644,0.267089984
646,0.26958613600000003
648,0.272097792
650,0.274625
652,0.277167808
654,0.279726264
656,0.282300416
658,0.28489031200000003
660,0.28749600000000003
662,0.290117528
664,0.292754944
666,0.295408296
668,0.29807763200000004
670,0.300763
672,0.303464448
